Size_1000sqft,Price_1000s
0.55,220.4
0.55,197.2
0.55,194.3
0.55,208.5
0.55,191.9
0.55,215.5
0.55,214.4
0.55,199.3
0.55,207.5
0.55,205.6
0.55,200.9
0.55,204.4
0.55,210.2
0.55,197.9
0.55,197.0
0.55,197.3
0.55,204.9
0.55,199.7
0.55,192.9
0.55,205.6
0.55,211.6
0.55,207.1
0.55,201.2
0.55,195.8
0.55,210.6
0.55,206.9
0.55,209.0
0.55,208.6
0.55,195.6
0.55,213.3
0.55,210.9
0.55,192.0
0.55,199.5
0.55,207.3
0.55,211.7
0.55,214.2
0.55,200.0
0.55,206.9
0.55,201.8
0.55,196.6
0.55,198.6
0.55,202.5
0.55,212.4
0.55,215.5
0.55,204.2
0.55,206.3
0.55,206.9
0.55,205.0
0.55,208.4
0.55,203.9
0.55,210.4
0.55,212.9
0.55,206.1
0.55,204.9
0.55,208.0
0.55,207.6
0.55,207.0
0.55,216.2
0.55,212.0
0.55,201.9
0.55,202.7
0.55,191.0
0.55,209.1
0.55,212.4
0.55,204.0
0.55,212.9
0.551,211.8
0.551,212.0
0.552,206.1
0.555,203.3
0.556,203.5
0.557,201.7
0.557,190.5
0.558,200.5
0.56,210.1
0.56,207.0
0.562,205.5
0.563,204.5
0.565,204.7
0.566,250.5
0.566,204.7
0.57,201.2
0.571,212.2
0.573,201.8
0.573,207.6
0.574,208.6
0.575,218.5
0.575,210.2
0.575,209.1
0.576,208.0
0.582,212.8
0.582,201.5
0.583,210.7
0.584,210.3
0.588,223.7
0.589,203.6
0.59,211.4
0.591,210.7
0.592,221.1
0.594,213.3
0.594,218.8
0.597,210.2
0.598,212.1
0.6,207.5
0.6,197.4
0.601,201.7
0.603,208.3
0.603,196.5
0.603,202.1
0.603,227.2
0.604,216.6
0.605,227.8
0.606,206.8
0.606,218.8
0.606,231.7
0.606,199.7
0.606,216.9
0.607,214.2
0.607,202.6
0.609,213.3
0.609,219.2
0.609,214.3
0.609,212.2
0.61,212.2
0.613,220.1
0.613,210.6
0.614,216.3
0.614,212.1
0.614,212.1
0.616,215.2
0.617,213.3
0.617,229.8
0.618,204.7
0.618,211.2
0.621,214.3
0.621,210.0
0.622,219.8
0.625,201.4
0.626,206.3
0.627,221.5
0.627,207.5
0.628,215.2
0.628,217.5
0.629,217.0
0.629,215.4
0.629,222.5
0.63,220.9
0.633,216.8
0.633,220.1
0.633,213.6
0.634,221.3
0.634,217.0
0.635,218.7
0.635,222.8
0.635,221.3
0.637,217.8
0.639,224.8
0.639,211.1
0.639,209.1
0.639,221.0
0.639,224.8
0.64,215.3
0.64,224.3
0.642,222.5
0.643,236.5
0.644,209.8
0.644,212.7
0.645,216.4
0.645,213.0
0.646,226.2
0.646,217.8
0.646,217.5
0.648,214.8
0.649,213.2
0.651,219.5
0.652,225.4
0.652,213.7
0.652,219.7
0.652,214.3
0.652,215.8
0.653,217.5
0.655,214.2
0.656,228.1
0.656,219.2
0.656,224.4
0.657,224.7
0.657,227.0
0.658,207.1
0.658,214.1
0.658,213.2
0.658,204.9
0.659,220.1
0.659,228.9
0.659,227.1
0.66,217.4
0.661,211.7
0.661,213.7
0.661,235.1
0.662,222.5
0.662,224.9
0.663,215.7
0.664,216.3
0.664,246.1
0.665,225.9
0.667,207.3
0.667,234.7
0.668,234.9
0.668,230.5
0.668,218.0
0.67,232.8
0.671,220.9
0.672,226.1
0.672,216.0
0.673,218.7
0.673,219.9
0.674,220.1
0.674,224.9
0.674,210.9
0.674,235.2
0.675,229.4
0.676,222.9
0.676,214.6
0.677,222.3
0.677,233.1
0.677,229.2
0.677,212.4
0.677,224.0
0.678,228.3
0.678,207.7
0.678,214.7
0.679,219.7
0.679,229.5
0.679,226.4
0.679,231.4
0.679,226.8
0.68,238.4
0.681,214.5
0.682,229.6
0.683,220.8
0.683,214.3
0.683,218.0
0.683,220.2
0.684,218.7
0.684,226.5
0.684,219.4
0.684,239.5
0.684,211.3
0.685,236.4
0.686,222.3
0.687,221.6
0.687,220.4
0.687,224.9
0.687,211.1
0.689,219.8
0.689,233.3
0.69,229.2
0.691,233.5
0.691,211.7
0.692,224.9
0.692,232.1
0.693,223.2
0.693,226.7
0.694,229.1
0.694,217.7
0.694,227.3
0.694,225.2
0.695,212.7
0.698,232.1
0.699,239.8
0.7,217.5
0.701,219.2
0.702,212.6
0.702,226.2
0.702,229.7
0.704,211.3
0.704,224.7
0.704,231.6
0.705,223.8
0.705,232.4
0.705,229.0
0.707,224.8
0.707,215.9
0.708,220.1
0.708,245.1
0.708,235.9
0.708,231.4
0.709,247.1
0.709,230.1
0.709,218.9
0.71,225.7
0.711,242.3
0.711,229.9
0.712,225.4
0.712,226.7
0.714,222.1
0.714,222.5
0.715,242.1
0.715,231.7
0.716,230.1
0.717,234.9
0.718,228.3
0.718,216.8
0.718,246.8
0.719,239.5
0.72,231.8
0.72,248.2
0.721,238.5
0.721,229.5
0.721,225.1
0.722,232.5
0.722,234.5
0.722,232.7
0.723,238.9
0.723,219.4
0.723,239.0
0.723,231.2
0.724,223.1
0.724,237.3
0.724,238.1
0.725,235.1
0.725,235.7
0.725,230.4
0.725,217.4
0.726,216.6
0.726,226.5
0.727,232.9
0.727,225.6
0.727,229.0
0.728,239.2
0.728,228.8
0.728,233.0
0.729,227.1
0.73,243.1
0.731,232.3
0.731,241.8
0.731,211.3
0.732,227.6
0.732,218.6
0.732,224.5
0.733,215.5
0.733,236.6
0.734,233.1
0.735,234.0
0.735,238.6
0.735,228.9
0.735,225.8
0.736,230.7
0.737,208.6
0.737,230.2
0.737,229.8
0.737,228.1
0.738,239.2
0.738,242.3
0.738,246.7
0.738,236.0
0.738,236.5
0.738,243.8
0.738,238.0
0.738,228.0
0.739,232.7
0.739,237.1
0.74,239.7
0.74,218.4
0.74,242.0
0.741,239.2
0.741,223.2
0.741,233.9
0.741,238.0
0.741,231.1
0.742,250.6
0.743,230.5
0.743,230.7
0.743,230.1
0.744,227.7
0.744,229.8
0.745,238.9
0.745,236.7
0.746,224.2
0.747,252.9
0.747,226.0
0.748,247.3
0.749,229.2
0.749,246.4
0.749,231.1
0.75,238.2
0.75,237.3
0.75,226.0
0.75,242.0
0.751,220.5
0.752,228.7
0.752,231.1
0.753,235.9
0.753,227.0
0.754,219.1
0.754,217.5
0.754,230.8
0.754,229.8
0.755,227.2
0.755,242.1
0.755,232.1
0.755,233.0
0.755,236.3
0.756,226.1
0.756,228.2
0.756,241.9
0.756,242.3
0.756,295.5
0.757,234.7
0.757,240.3
0.757,251.4
0.757,241.8
0.757,227.2
0.757,230.6
0.757,246.1
0.758,232.5
0.758,232.8
0.758,236.3
0.758,245.9
0.758,225.8
0.759,233.6
0.759,229.0
0.76,236.9
0.76,230.9
0.76,239.4
0.76,235.4
0.76,240.1
0.761,246.6
0.762,230.0
0.762,249.1
0.762,242.6
0.762,232.1
0.763,247.1
0.763,233.2
0.764,253.6
0.764,230.9
0.764,223.5
0.764,240.4
0.764,231.1
0.764,223.2
0.764,237.2
0.764,246.7
0.764,217.0
0.765,216.7
0.765,247.2
0.765,232.6
0.765,247.3
0.765,232.8
0.765,230.4
0.766,241.7
0.766,233.5
0.766,229.4
0.767,233.9
0.767,236.4
0.767,241.8
0.768,240.1
0.768,225.3
0.769,243.0
0.769,253.5
0.769,226.6
0.769,243.9
0.769,222.6
0.77,238.3
0.77,230.3
0.771,235.0
0.772,223.3
0.773,237.3
0.773,246.5
0.773,242.8
0.774,242.8
0.774,227.1
0.774,255.4
0.775,250.1
0.775,221.9
0.775,237.4
0.775,247.6
0.776,233.9
0.776,254.7
0.776,250.1
0.777,226.6
0.777,257.2
0.778,225.8
0.778,235.4
0.778,238.2
0.778,244.7
0.778,235.0
0.779,229.7
0.779,246.8
0.779,235.5
0.781,240.1
0.781,233.9
0.781,237.2
0.781,244.0
0.782,239.6
0.782,243.2
0.783,230.7
0.783,234.2
0.784,222.6
0.784,244.9
0.784,230.4
0.784,247.4
0.784,238.0
0.784,232.3
0.785,238.2
0.786,220.6
0.786,250.1
0.787,252.1
0.787,252.6
0.788,227.4
0.788,255.0
0.788,240.8
0.789,239.7
0.789,241.8
0.789,232.1
0.79,237.2
0.79,256.1
0.791,235.4
0.791,239.2
0.791,242.2
0.791,237.9
0.791,235.0
0.792,256.2
0.792,231.3
0.792,229.7
0.792,233.6
0.792,235.8
0.793,243.3
0.793,232.8
0.793,248.7
0.794,239.5
0.794,226.9
0.795,241.3
0.796,240.1
0.796,237.1
0.796,222.6
0.796,247.6
0.797,244.7
0.797,251.4
0.797,239.7
0.797,241.6
0.798,269.1
0.799,237.1
0.799,252.5
0.8,243.4
0.8,226.2
0.8,245.1
0.801,248.9
0.801,245.4
0.802,222.3
0.803,234.2
0.803,247.2
0.804,237.7
0.804,253.4
0.805,253.3
0.805,235.9
0.805,254.5
0.805,234.7
0.805,241.4
0.806,247.5
0.806,231.6
0.806,232.7
0.807,252.7
0.807,243.9
0.807,241.4
0.808,240.7
0.808,230.5
0.808,237.4
0.809,235.4
0.809,239.1
0.809,219.2
0.81,240.5
0.81,239.3
0.81,256.6
0.811,240.9
0.811,243.1
0.811,248.0
0.811,252.3
0.811,231.6
0.812,239.9
0.812,238.1
0.812,239.1
0.812,251.8
0.813,254.0
0.813,258.9
0.813,241.0
0.814,228.6
0.814,239.2
0.814,243.9
0.814,259.3
0.814,248.9
0.815,246.1
0.815,222.3
0.816,253.2
0.816,230.6
0.816,253.0
0.816,241.5
0.817,252.9
0.817,256.0
0.818,270.6
0.818,238.8
0.818,250.7
0.818,247.5
0.819,256.6
0.819,238.9
0.819,249.9
0.819,256.0
0.82,252.5
0.821,238.1
0.821,252.4
0.821,216.2
0.821,233.6
0.821,251.4
0.821,234.5
0.822,252.5
0.822,238.7
0.822,243.3
0.822,229.5
0.822,237.2
0.822,244.8
0.823,252.6
0.823,240.1
0.823,249.2
0.824,246.9
0.824,243.2
0.824,245.5
0.824,228.0
0.824,230.6
0.825,248.9
0.826,224.0
0.826,259.0
0.826,243.6
0.826,248.3
0.827,240.9
0.827,250.0
0.827,251.7
0.827,236.8
0.828,253.1
0.828,256.6
0.828,236.0
0.829,232.8
0.829,248.1
0.829,253.4
0.829,246.0
0.829,242.1
0.83,243.9
0.83,232.4
0.83,244.8
0.831,233.8
0.831,247.3
0.831,233.9
0.831,248.8
0.832,256.7
0.832,238.2
0.832,248.4
0.832,249.3
0.832,258.5
0.832,252.6
0.832,246.5
0.832,242.6
0.832,244.3
0.832,253.6
0.833,256.1
0.833,243.8
0.833,242.6
0.834,260.3
0.834,254.4
0.834,237.3
0.835,253.3
0.835,240.5
0.836,251.9
0.836,238.7
0.836,245.2
0.837,235.2
0.837,245.9
0.837,233.1
0.837,245.2
0.838,246.8
0.838,238.6
0.838,234.2
0.838,256.4
0.838,242.9
0.838,243.6
0.838,256.2
0.839,247.9
0.839,250.3
0.839,252.3
0.839,249.8
0.84,246.8
0.84,248.3
0.84,273.5
0.84,236.2
0.84,253.7
0.84,254.8
0.84,242.9
0.84,257.6
0.841,255.6
0.842,258.6
0.842,227.5
0.842,267.9
0.842,234.6
0.842,252.5
0.843,244.3
0.843,255.7
0.843,235.1
0.844,233.4
0.844,259.9
0.844,258.7
0.844,239.7
0.844,231.6
0.845,256.2
0.845,237.8
0.845,243.6
0.845,231.3
0.846,237.1
0.846,235.6
0.846,231.2
0.846,275.7
0.846,239.3
0.846,260.6
0.847,254.3
0.847,261.8
0.847,235.5
0.848,251.6
0.848,249.7
0.849,248.9
0.849,254.6
0.849,255.7
0.849,257.2
0.849,233.7
0.85,255.2
0.85,254.5
0.851,246.1
0.851,249.0
0.851,258.8
0.851,252.7
0.851,246.9
0.852,252.2
0.852,249.0
0.853,242.3
0.853,258.2
0.853,242.7
0.853,250.4
0.853,244.5
0.854,251.9
0.854,248.7
0.854,236.2
0.854,266.4
0.854,247.8
0.854,240.9
0.854,241.2
0.854,259.2
0.855,246.2
0.855,239.7
0.855,224.8
0.855,261.9
0.856,246.4
0.856,243.6
0.856,244.5
0.856,295.8
0.856,257.7
0.856,240.2
0.857,238.0
0.857,247.0
0.857,265.6
0.857,249.0
0.858,244.1
0.858,263.1
0.858,255.6
0.858,241.3
0.858,237.9
0.858,262.3
0.859,241.3
0.859,257.0
0.859,233.1
0.859,244.2
0.86,241.9
0.86,254.2
0.86,255.4
0.861,246.9
0.861,256.2
0.861,269.1
0.861,234.3
0.862,263.2
0.862,268.2
0.862,239.2
0.862,248.0
0.862,252.1
0.862,244.3
0.862,241.2
0.862,237.8
0.863,250.7
0.863,254.2
0.863,257.0
0.864,261.2
0.864,262.9
0.864,244.6
0.864,261.4
0.864,254.8
0.864,259.6
0.864,253.3
0.864,240.6
0.864,252.2
0.864,239.4
0.865,266.2
0.865,251.4
0.865,241.0
0.865,256.1
0.865,229.1
0.865,254.3
0.866,272.1
0.866,255.7
0.867,250.4
0.867,245.3
0.867,265.3
0.867,226.7
0.867,247.1
0.867,262.8
0.867,240.7
0.868,261.5
0.868,247.2
0.868,242.8
0.868,251.5
0.869,251.3
0.869,243.2
0.869,310.7
0.869,244.2
0.87,252.5
0.87,243.1
0.871,254.6
0.871,238.6
0.871,249.6
0.871,239.2
0.871,228.8
0.871,258.1
0.872,216.6
0.872,262.8
0.872,250.4
0.872,252.9
0.872,242.9
0.872,262.3
0.872,259.8
0.873,234.6
0.873,248.4
0.873,263.8
0.873,246.0
0.873,249.5
0.873,273.0
0.873,301.7
0.873,235.6
0.874,244.9
0.874,261.8
0.874,259.2
0.874,258.2
0.875,252.9
0.875,251.6
0.875,251.7
0.875,252.6
0.876,242.5
0.876,257.3
0.876,240.8
0.876,230.7
0.877,240.6
0.877,240.5
0.877,258.5
0.878,260.1
0.878,266.5
0.878,243.1
0.878,246.3
0.878,245.9
0.878,266.6
0.878,232.4
0.878,248.0
0.879,266.4
0.879,253.4
0.879,253.9
0.879,255.7
0.879,242.5
0.879,242.3
0.88,260.0
0.881,269.0
0.881,254.1
0.881,251.7
0.881,241.7
0.882,251.5
0.882,254.1
0.883,253.1
0.883,254.5
0.884,232.2
0.884,198.4
0.884,255.5
0.884,249.3
0.884,249.5
0.884,251.4
0.884,261.8
0.884,253.7
0.884,253.9
0.885,261.9
0.885,263.9
0.885,239.9
0.886,254.7
0.886,259.5
0.886,232.7
0.886,232.1
0.886,257.3
0.887,257.4
0.887,252.7
0.887,256.1
0.887,251.1
0.888,250.1
0.888,237.8
0.889,254.2
0.889,259.4
0.889,263.3
0.889,257.8
0.889,255.5
0.89,253.3
0.89,236.4
0.89,286.0
0.89,248.0
0.89,264.3
0.89,248.1
0.89,240.8
0.89,242.7
0.89,251.4
0.891,264.8
0.891,242.1
0.892,250.0
0.892,247.0
0.892,248.5
0.892,249.4
0.892,243.1
0.892,243.9
0.892,245.6
0.893,262.6
0.893,261.9
0.893,263.6
0.893,270.3
0.893,260.2
0.893,260.8
0.894,258.0
0.894,257.9
0.894,252.1
0.894,245.7
0.894,250.5
0.895,263.4
0.895,255.7
0.895,235.0
0.895,252.9
0.895,268.1
0.896,253.6
0.896,270.0
0.896,256.9
0.896,241.2
0.897,255.7
0.897,251.8
0.897,253.0
0.897,247.3
0.898,248.9
0.898,260.4
0.898,269.5
0.898,258.9
0.898,249.9
0.898,183.5
0.899,255.2
0.899,260.6
0.899,253.3
0.899,250.1
0.899,259.6
0.899,241.4
0.9,260.2
0.9,261.9
0.901,246.0
0.901,266.6
0.902,266.8
0.902,248.1
0.902,268.6
0.902,266.1
0.902,275.0
0.902,252.8
0.902,263.5
0.902,256.0
0.903,285.7
0.903,225.7
0.903,256.7
0.903,239.9
0.903,267.7
0.904,307.4
0.904,259.5
0.904,262.4
0.904,254.4
0.904,275.3
0.905,269.8
0.905,265.5
0.905,266.7
0.905,277.5
0.905,247.5
0.906,250.1
0.906,246.9
0.906,272.0
0.906,258.0
0.906,267.0
0.906,240.8
0.906,261.5
0.906,265.6
0.907,253.3
0.907,280.2
0.907,255.2
0.908,243.3
0.908,254.5
0.908,254.9
0.908,258.8
0.909,254.6
0.909,259.2
0.909,268.4
0.91,260.3
0.911,278.2
0.911,259.5
0.911,257.0
0.911,251.5
0.911,254.6
0.911,253.4
0.911,247.1
0.912,242.4
0.912,264.9
0.912,262.0
0.912,257.3
0.912,263.4
0.912,246.0
0.912,255.8
0.913,256.1
0.913,268.9
0.913,252.8
0.914,245.9
0.914,261.4
0.914,267.0
0.914,262.3
0.915,257.7
0.915,246.1
0.915,257.1
0.915,248.5
0.915,255.0
0.915,267.8
0.915,250.4
0.915,266.9
0.916,250.0
0.916,261.9
0.916,260.9
0.917,241.5
0.917,253.1
0.917,245.3
0.917,261.8
0.917,254.6
0.917,247.0
0.917,252.1
0.917,233.3
0.918,244.4
0.918,269.4
0.918,245.6
0.918,252.7
0.919,246.2
0.919,279.3
0.92,271.4
0.92,254.0
0.92,251.8
0.92,253.9
0.92,264.1
0.92,259.2
0.92,283.6
0.921,256.1
0.921,269.8
0.921,244.3
0.921,245.8
0.922,261.1
0.922,258.4
0.922,258.3
0.922,263.4
0.922,255.4
0.923,243.1
0.923,254.1
0.923,265.4
0.923,264.2
0.923,265.6
0.923,265.4
0.923,269.8
0.924,267.2
0.924,255.1
0.924,254.2
0.924,266.9
0.924,256.8
0.925,258.7
0.925,263.8
0.925,256.3
0.925,267.0
0.925,268.3
0.926,259.0
0.926,270.1
0.926,235.4
0.926,269.9
0.926,254.1
0.927,255.3
0.927,244.0
0.927,256.1
0.928,266.8
0.929,264.0
0.929,251.6
0.929,252.0
0.929,255.7
0.929,245.3
0.929,252.5
0.93,257.1
0.93,271.9
0.93,266.8
0.93,240.6
0.93,249.1
0.931,251.5
0.931,265.8
0.931,255.6
0.932,271.8
0.932,265.9
0.932,245.7
0.933,260.2
0.933,239.2
0.933,264.2
0.933,253.7
0.933,256.1
0.933,267.6
0.933,260.3
0.934,266.9
0.934,236.6
0.934,267.9
0.934,264.5
0.934,267.0
0.934,263.4
0.934,259.5
0.935,261.0
0.935,258.3
0.935,245.5
0.935,269.2
0.935,258.5
0.936,264.8
0.936,258.8
0.936,275.2
0.936,260.4
0.936,259.5
0.937,247.2
0.937,259.1
0.937,266.5
0.938,254.9
0.938,248.8
0.938,253.3
0.938,258.2
0.938,240.4
0.939,269.4
0.939,279.2
0.939,252.1
0.939,260.7
0.939,270.7
0.939,265.5
0.939,255.3
0.939,275.2
0.94,287.4
0.94,284.2
0.94,258.9
0.94,262.9
0.941,253.2
0.941,271.0
0.941,259.5
0.941,237.1
0.942,319.7
0.942,276.0
0.942,264.7
0.942,287.7
0.942,253.4
0.942,272.2
0.942,254.5
0.942,274.6
0.943,253.8
0.943,250.1
0.943,259.0
0.944,248.2
0.944,242.1
0.944,268.2
0.945,256.2
0.945,256.0
0.945,260.4
0.945,249.4
0.946,262.1
0.946,267.3
0.947,263.0
0.947,265.8
0.947,264.1
0.947,242.4
0.948,269.4
0.948,245.7
0.948,262.3
0.948,281.5
0.948,250.8
0.948,265.0
0.948,260.7
0.949,279.4
0.949,255.8
0.949,243.6
0.949,264.5
0.949,277.2
0.949,249.8
0.949,272.5
0.949,272.1
0.949,271.9
0.949,255.6
0.95,250.1
0.95,285.3
0.95,260.0
0.95,261.1
0.95,259.1
0.95,269.7
0.95,267.3
0.951,262.4
0.951,272.4
0.951,257.4
0.951,267.4
0.951,245.5
0.951,254.4
0.952,258.4
0.952,252.6
0.952,275.1
0.952,243.1
0.952,270.8
0.952,244.2
0.952,288.1
0.952,259.8
0.952,265.1
0.953,276.6
0.953,251.9
0.953,267.2
0.953,251.4
0.954,256.9
0.954,265.8
0.954,265.2
0.954,252.5
0.954,248.4
0.955,252.7
0.955,257.6
0.955,255.1
0.955,262.1
0.955,269.5
