Travel_type,Price_per_night,Distance_to_center,Review_count,Room_size,Host_response_time,Has_fast_wifi,Has_dedicated_workspace,Has_parking,Has_gym,Has_breakfast,Has_kitchen,Has_pool,Has_laundry,Amenities_comfort_extra,Amenities_luxury_extra,Satisfaction,Would_recommend
Pleasure,173.7654083475998,7.709602746156799,38,91.59168276260772,203.5483503369507,1,1,1,1,1,1,1,1,1,7,7.980142925677596,1
Pleasure,100.78002527178313,18.627950332938916,265,54.34093140415678,218.3291900346734,1,1,1,1,1,1,1,1,1,3,7.204375267672984,0
Pleasure,467.29027417497167,0.889723905432025,329,115.57304017117545,48.274574480333264,1,1,1,1,1,1,1,1,4,5,5.336510916474087,0
Pleasure,489.3484869129568,17.812584301198683,392,27.117356783256355,219.40773362696643,0,1,1,0,1,1,1,1,0,0,1.0,0
Pleasure,300.43097947816864,13.969196214796915,389,81.42828116729875,15.676724727628072,1,1,1,1,1,1,0,1,0,0,8.432359471453525,1
Pleasure,332.92777119251554,18.861948822642447,497,73.94318142623248,124.23350881845936,1,1,1,1,1,1,1,1,2,3,6.366890187846021,0
Pleasure,224.53518246881654,1.746721042383177,207,28.106193465906824,89.3284727928233,1,1,1,1,1,1,1,1,0,0,7.704916425326565,1
Business,129.87307979695217,19.309006565981623,294,91.32892854176522,112.97291762760955,1,1,1,1,0,1,0,1,0,0,1.0,0
Pleasure,151.86036315522972,5.436562510333525,287,86.27093180934192,138.61963798894436,1,0,1,1,1,1,1,1,0,0,8.486052737206942,1
Business,384.1755926517833,14.914285679909671,226,52.86727727444923,189.15088657859948,0,1,1,1,1,0,0,1,0,0,1.0,0
Pleasure,237.77556474798658,4.92700203511146,412,35.545737548415964,51.140791278027145,1,1,1,1,1,1,1,1,1,2,9.098583865755774,1
Business,362.02642016084474,17.874436978516954,477,45.993063843407484,12.569356088507565,1,1,1,1,1,1,1,1,7,0,1.5944715814185868,0
Pleasure,61.14312114892908,6.2926400285761,357,66.47213797164953,48.0012404957042,1,1,1,1,1,1,1,1,0,0,7.980137459034969,1
Business,290.7063067084582,18.885283157298783,499,119.53285114005948,161.84309518381144,1,1,1,1,1,1,1,1,0,0,1.0,0
Pleasure,438.14043572405143,11.668308354290131,19,39.670394677231066,25.897974025368157,1,1,1,1,1,1,1,1,0,0,1.0,0
Pleasure,107.1967236970468,16.988422041430717,121,78.95868080066057,174.00678076773553,1,1,1,1,1,1,1,1,1,5,5.508712818024982,1
Pleasure,136.71151982308484,0.028184173354603992,79,96.59642554095798,41.0423034086609,1,1,1,1,1,1,1,1,1,1,8.692332812593023,1
Pleasure,163.9286237594072,1.5557151092621502,105,67.29265840125079,142.01898928994996,1,1,1,1,1,1,1,1,1,2,7.841386421586509,1
