NPC ID,NPC friendliness,NPC item value,NPC quest value,NPC gender,NPC class,NPC area level,User ID,User level,User class,Interaction length,Interaction text exchanges,Interaction quests acquired,Interaction transactions
343,31.44,1,-4,M,Mage,10,33624,12,Fighter,8.95,16,3,2
350,84.43,5,5,F,Mage,40,23345,43,Thief,11.69,15,3,5
337,44.56,-1,1,F,Thief,40,76756,43,Fighter,11.46,14,3,5
350,63.13,5,5,F,Mage,40,69028,38,Fighter,11.32,15,3,5
329,70.3,0,-1,F,Mage,10,88605,11,Thief,5.75,16,2,3
325,19.18,-3,2,F,Fighter,30,71073,26,Fighter,7.4,15,2,5
338,95.82,4,-5,F,Fighter,40,15064,45,Fighter,11.57,15,4,5
304,7.16,3,-5,M,Thief,10,89658,6,Mage,11.39,16,5,1
342,102.66,5,1,M,Mage,40,60392,36,Fighter,11.61,14,3,5
348,92.63,-3,1,F,Thief,30,87622,33,Mage,12.34,14,3,5
321,103.45,0,-1,F,Mage,30,47511,25,Thief,11.96,17,3,5
311,62.33,-2,-5,M,Mage,10,61904,13,Mage,6.03,14,2,3
322,97.84,4,2,F,Fighter,40,55675,38,Mage,11.81,15,3,5
343,33.98,1,-4,M,Mage,10,39789,7,Fighter,10.08,17,4,2
315,90.61,-3,-3,F,Fighter,20,53823,19,Mage,2.42,12,1,4
314,60.45,-2,-2,F,Fighter,30,75760,32,Fighter,10.59,16,3,5
315,108.14,-3,-3,F,Fighter,20,77243,15,Fighter,1.88,10,1,4
316,0.0,0,-3,F,Thief,30,41707,29,Fighter,8.1,16,2,6
321,88.6,0,-1,F,Mage,30,42679,34,Mage,12.35,16,4,5
315,100.97,-3,-3,F,Fighter,20,18595,25,Mage,10.99,15,3,4
322,106.58,4,2,F,Fighter,40,82319,43,Thief,12.02,16,3,5
312,50.7,4,5,M,Mage,10,21368,14,Thief,6.71,15,3,3
349,44.17,3,-1,M,Fighter,30,83128,30,Thief,8.69,16,3,5
344,81.94,4,1,M,Fighter,20,41141,23,Mage,10.39,15,3,5
316,2.82,0,-3,F,Thief,30,75760,32,Fighter,8.59,16,3,6
346,110.09,-3,5,F,Fighter,30,10230,31,Fighter,12.16,15,3,4
338,90.86,4,-5,F,Fighter,40,88541,39,Mage,12.36,15,3,5
324,5.24,-5,0,M,Fighter,40,52157,45,Mage,10.84,15,3,5
305,14.34,0,-2,F,Thief,30,45657,34,Thief,9.32,16,3,5
349,40.69,3,-1,M,Fighter,30,57345,25,Fighter,8.89,15,3,5
341,0.91,-2,3,F,Fighter,10,33912,11,Thief,11.33,15,5,1
339,76.01,5,3,F,Fighter,10,28832,7,Mage,4.42,15,2,4
332,2.58,3,-2,F,Thief,10,71599,10,Fighter,11.2,15,5,1
322,86.54,4,2,F,Fighter,40,84450,37,Fighter,11.71,15,3,5
320,12.14,-5,4,F,Fighter,40,57280,43,Fighter,9.76,16,3,5
340,22.02,3,0,F,Thief,20,44061,18,Fighter,9.54,17,4,2
327,74.36,-4,2,M,Mage,20,59661,17,Fighter,4.31,14,1,3
324,1.53,-5,0,M,Fighter,40,21363,41,Fighter,10.34,17,3,5
317,78.26,4,2,M,Thief,40,38195,35,Thief,11.72,15,4,4
341,4.38,-2,3,F,Fighter,10,79774,5,Thief,11.9,15,5,1
317,78.54,4,2,M,Thief,40,89258,42,Fighter,12.25,15,3,5
325,10.0,-3,2,F,Fighter,30,76651,32,Thief,9.34,16,3,5
305,13.85,0,-2,F,Thief,30,72594,27,Fighter,8.07,16,3,5
345,46.48,-5,-4,M,Fighter,30,36771,25,Mage,9.04,15,3,4
314,62.16,-2,-2,F,Fighter,30,69901,28,Mage,10.08,16,3,4
347,4.79,5,0,F,Mage,10,15269,12,Fighter,10.78,15,5,1
317,84.43,4,2,M,Thief,40,75692,44,Mage,12.06,15,3,4
334,53.48,0,1,M,Fighter,40,76336,42,Thief,12.37,16,3,5
340,35.37,3,0,F,Thief,20,31460,22,Mage,7.88,16,2,5
345,57.31,-5,-4,M,Fighter,30,33328,28,Mage,9.15,17,3,4
301,91.68,-2,5,F,Fighter,40,72663,45,Fighter,12.37,14,3,4
309,47.48,-5,-3,M,Thief,40,75692,44,Mage,11.75,15,3,5
314,72.48,-2,-2,F,Fighter,30,36771,25,Mage,10.5,15,3,4
330,21.7,5,-4,M,Thief,10,56849,8,Thief,10.22,16,5,1
340,19.85,3,0,F,Thief,20,58169,16,Mage,10.48,17,4,2
342,87.18,5,1,M,Mage,40,35033,37,Mage,12.28,16,3,5
314,59.03,-2,-2,F,Fighter,30,48331,25,Mage,9.32,15,3,4
350,71.52,5,5,F,Mage,40,88541,39,Mage,11.43,15,3,5
331,86.69,2,-5,F,Mage,40,76128,35,Fighter,11.43,16,3,5
346,102.24,-3,5,F,Fighter,30,16869,34,Thief,12.5,15,3,4
326,30.42,-1,-1,M,Mage,20,62743,16,Fighter,9.91,16,3,2
324,4.51,-5,0,M,Fighter,40,24800,44,Thief,10.17,16,3,5
301,104.37,-2,5,F,Fighter,40,71618,41,Mage,11.43,16,3,4
319,64.57,0,-3,M,Mage,40,78198,35,Thief,10.8,16,3,4
322,103.95,4,2,F,Fighter,40,22786,39,Thief,11.86,15,3,5
317,81.76,4,2,M,Thief,40,16245,40,Fighter,12.05,14,3,5
311,84.03,-2,-5,M,Mage,10,39882,12,Mage,5.53,14,2,3
331,104.89,2,-5,F,Mage,40,33831,37,Fighter,11.88,16,3,4
321,105.93,0,-1,F,Mage,30,76651,32,Thief,12.29,14,3,4
340,19.25,3,0,F,Thief,20,82438,21,Thief,8.42,15,2,5
329,65.72,0,-1,F,Mage,10,31251,8,Mage,6.2,15,2,3
347,0.0,5,0,F,Mage,10,33339,11,Thief,11.9,17,5,1
305,15.09,0,-2,F,Thief,30,14570,31,Thief,8.36,18,3,5
328,58.6,-2,0,F,Thief,30,27444,29,Mage,9.97,17,3,4
338,103.69,4,-5,F,Fighter,40,10264,43,Mage,12.5,14,4,5
303,31.28,0,1,M,Thief,10,44443,10,Mage,9.03,18,3,2
308,108.33,-2,5,F,Mage,20,77309,22,Thief,11.52,16,3,5
336,16.6,-5,1,F,Thief,40,84450,37,Fighter,9.33,17,3,5
333,58.75,-2,5,F,Fighter,30,24163,33,Mage,10.29,16,3,5
321,108.12,0,-1,F,Mage,30,65603,27,Fighter,11.91,15,3,4
348,75.46,-3,1,F,Thief,30,42829,29,Mage,10.54,17,3,4
303,44.53,0,1,M,Thief,10,54238,7,Mage,9.26,16,4,2
306,86.95,0,5,M,Mage,10,88724,8,Fighter,2.19,10,1,4
347,0.18,5,0,F,Mage,10,15269,12,Fighter,10.51,16,5,1
311,76.54,-2,-5,M,Mage,10,37473,5,Thief,6.19,15,2,3
346,114.09,-3,5,F,Fighter,30,67045,30,Thief,12.15,15,3,5
346,104.55,-3,5,F,Fighter,30,11814,28,Fighter,12.33,15,3,4
309,27.82,-5,-3,M,Thief,40,15157,44,Mage,11.13,18,3,5
349,43.4,3,-1,M,Fighter,30,34653,29,Fighter,9.15,17,3,5
315,92.3,-3,-3,F,Fighter,20,40879,22,Thief,10.93,16,3,4
314,63.58,-2,-2,F,Fighter,30,16869,34,Thief,11.33,16,4,5
303,42.79,0,1,M,Thief,10,42866,15,Thief,8.85,17,3,2
323,3.23,-2,3,F,Mage,30,21420,31,Thief,7.83,18,3,5
305,28.0,0,-2,F,Thief,30,21681,35,Mage,8.95,16,3,5
311,79.11,-2,-5,M,Mage,10,52461,15,Thief,5.36,16,2,3
323,3.26,-2,3,F,Mage,30,38195,35,Thief,8.29,15,2,6
306,104.64,0,5,M,Mage,10,31723,10,Thief,3.46,10,1,3
337,46.43,-1,1,F,Thief,40,59768,44,Mage,11.57,16,3,5
330,13.11,5,-4,M,Thief,10,88724,8,Fighter,10.52,15,4,1
322,89.21,4,2,F,Fighter,40,67621,35,Fighter,12.5,14,3,5
345,45.35,-5,-4,M,Fighter,30,48478,27,Thief,9.92,16,3,5
312,49.93,4,5,M,Mage,10,71599,10,Fighter,7.34,16,2,3
315,109.77,-3,-3,F,Fighter,20,73420,22,Mage,12.03,15,3,4
305,26.17,0,-2,F,Thief,30,80080,27,Mage,8.59,17,3,5
350,71.35,5,5,F,Mage,40,47409,36,Mage,11.09,16,3,5
347,1.67,5,0,F,Mage,10,44443,10,Mage,11.59,16,5,1
338,104.56,4,-5,F,Fighter,40,41752,43,Fighter,12.33,17,3,5
310,1.78,-1,-5,F,Mage,30,88841,34,Fighter,8.23,17,3,5
350,64.13,5,5,F,Mage,40,17523,45,Thief,12.16,16,3,5
317,91.49,4,2,M,Thief,40,83926,44,Mage,11.67,13,3,5
326,48.23,-1,-1,M,Mage,20,65713,24,Mage,8.65,17,3,5
314,59.89,-2,-2,F,Fighter,30,33609,35,Fighter,11.54,15,3,4
348,81.91,-3,1,F,Thief,30,27231,31,Mage,11.98,15,3,4
301,102.25,-2,5,F,Fighter,40,51883,41,Mage,11.56,16,3,5
344,75.79,4,1,M,Fighter,20,19321,20,Fighter,4.83,13,2,3
334,50.82,0,1,M,Fighter,40,82229,43,Mage,12.41,14,3,5
325,12.89,-3,2,F,Fighter,30,83128,30,Thief,7.42,17,3,5
335,84.61,2,-1,F,Fighter,30,82807,28,Thief,11.21,16,3,5
345,53.01,-5,-4,M,Fighter,30,69284,35,Thief,10.64,15,3,4
323,11.64,-2,3,F,Mage,30,63021,27,Mage,7.02,17,2,5
319,65.73,0,-3,M,Mage,40,86145,36,Fighter,11.66,15,3,4
340,28.26,3,0,F,Thief,20,23647,24,Fighter,8.69,16,2,5
316,8.02,0,-3,F,Thief,30,82807,28,Thief,7.34,16,3,6
333,56.97,-2,5,F,Fighter,30,67018,27,Thief,9.65,16,3,5
328,62.14,-2,0,F,Thief,30,27231,31,Mage,11.14,16,3,4
347,9.36,5,0,F,Mage,10,38726,8,Mage,11.62,14,5,1
343,33.91,1,-4,M,Mage,10,55119,9,Mage,9.39,15,4,2
304,12.48,3,-5,M,Thief,10,39789,7,Fighter,10.57,14,5,2
314,60.37,-2,-2,F,Fighter,30,87356,32,Fighter,10.86,15,3,5
